timestamp(America/Toronto),score,temp,humid,co2,voc,pm25
2021-05-03 00:00:00,87.7,22.2,40.6,672.9,1060.2,2.1
2021-05-03 00:05:00,87.8,22.2,40.6,679.5,1051.0,2.0
2021-05-03 00:10:00,87.4,22.2,40.6,685.6,1044.5,2.0
2021-05-03 00:15:00,87.9,22.1,40.8,683.3,1040.8,2.0
2021-05-03 00:20:00,88.0,22.1,40.8,688.2,1044.0,1.9
2021-05-03 00:25:00,88.0,22.1,40.9,695.5,1027.8,1.9
2021-05-03 00:30:00,88.0,22.1,41.0,702.3,1015.7,1.9
2021-05-03 00:35:00,88.0,22.1,41.0,697.4,1010.6,1.7
2021-05-03 00:40:00,88.0,22.0,41.1,698.7,1000.7,1.8
2021-05-03 00:45:00,88.0,22.0,41.1,695.0,1002.1,1.7
2021-05-03 00:50:00,88.0,22.0,41.2,696.3,1012.2,1.9
2021-05-03 00:55:00,88.0,22.0,41.2,698.2,1020.0,1.9
2021-05-03 01:00:00,88.0,22.0,41.3,702.7,1022.8,1.7
2021-05-03 01:05:00,88.0,22.0,41.4,703.0,1024.2,1.8
2021-05-03 01:10:00,88.0,22.0,41.4,703.3,1025.1,1.8
2021-05-03 01:15:00,88.0,22.0,41.4,702.0,1028.7,1.7
2021-05-03 01:20:00,88.0,22.0,41.4,703.8,1025.5,1.7
2021-05-03 01:25:00,88.0,22.0,41.5,702.8,1026.0,1.8
2021-05-03 01:30:00,88.0,21.9,41.6,696.6,1021.8,1.8
2021-05-03 01:35:00,88.0,22.0,41.6,700.2,1029.9,1.6
2021-05-03 01:40:00,88.0,21.9,41.7,701.3,1019.5,1.6
2021-05-03 01:45:00,88.3,21.9,41.7,696.0,1024.6,1.6
2021-05-03 01:50:00,88.7,21.9,41.8,695.1,1022.1,1.6
2021-05-03 01:55:00,88.7,21.9,41.7,694.3,1025.1,1.5
2021-05-03 02:00:00,89.0,21.9,41.8,691.7,1021.0,1.4
2021-05-03 02:05:00,89.0,21.9,41.8,691.4,1016.6,1.7
2021-05-03 02:10:00,89.0,21.9,41.8,694.2,1014.7,1.6
2021-05-03 02:15:00,89.0,21.9,41.8,698.0,1015.4,1.3
2021-05-03 02:20:00,89.0,21.8,41.9,691.8,1003.2,1.3
2021-05-03 02:25:00,89.0,21.8,42.0,690.5,1004.9,1.6
2021-05-03 02:30:00,89.0,21.8,41.9,691.9,1005.0,1.5
2021-05-03 02:35:00,89.0,21.8,41.9,687.3,998.0,1.1
2021-05-03 02:40:00,89.0,21.8,41.9,691.0,992.6,1.2
2021-05-03 02:45:00,89.0,21.8,42.0,691.3,982.9,1.2
2021-05-03 02:50:00,89.0,21.8,42.0,688.2,980.9,1.2
2021-05-03 02:55:00,89.0,21.8,41.9,685.9,975.0,1.3
2021-05-03 03:00:00,89.0,21.7,42.0,683.2,967.8,1.2
2021-05-03 03:05:00,89.0,21.7,42.0,681.4,965.3,1.1
2021-05-03 03:10:00,89.0,21.7,42.0,681.8,963.7,1.1
2021-05-03 03:15:00,89.0,21.7,42.0,690.9,953.6,1.0
2021-05-03 03:20:00,89.0,21.7,42.0,689.7,951.8,1.1
2021-05-03 03:25:00,89.0,21.7,42.0,688.7,945.5,1.2
2021-05-03 03:30:00,89.3,21.7,42.0,683.4,935.5,1.1
2021-05-03 03:35:00,89.8,21.6,42.1,676.6,931.4,1.0
2021-05-03 03:40:00,89.7,21.6,42.0,679.7,930.0,1.1
2021-05-03 03:45:00,89.3,21.6,42.1,682.6,935.4,1.0
2021-05-03 03:50:00,89.9,21.6,42.1,680.0,920.3,1.0
2021-05-03 03:55:00,89.7,21.6,42.1,684.3,921.1,1.0
2021-05-03 04:00:00,89.6,21.6,42.0,682.9,924.3,1.1
2021-05-03 04:05:00,89.8,21.6,42.0,681.4,920.4,1.1
2021-05-03 04:10:00,89.5,21.6,42.0,684.0,925.2,1.2
2021-05-03 04:15:00,89.6,21.6,42.0,682.1,923.4,1.1
2021-05-03 04:20:00,89.7,21.6,42.0,681.2,919.0,1.0
2021-05-03 04:25:00,89.7,21.6,41.9,683.3,914.7,1.0
2021-05-03 04:30:00,89.9,21.6,42.0,679.9,912.5,1.0
2021-05-03 04:35:00,89.8,21.6,41.9,678.1,913.0,1.0
2021-05-03 04:40:00,89.9,21.6,42.0,679.8,907.1,1.1
2021-05-03 04:45:00,89.9,21.6,41.9,680.6,902.0,1.0
2021-05-03 04:50:00,89.9,21.6,41.9,677.5,900.4,1.0
2021-05-03 04:55:00,90.0,21.5,41.9,673.2,894.1,1.1
2021-05-03 05:00:00,90.0,21.5,42.0,676.7,893.6,1.1
2021-05-03 05:05:00,90.0,21.5,42.0,677.1,891.3,1.0
2021-05-03 05:10:00,90.0,21.5,42.0,678.8,885.1,1.0
2021-05-03 05:15:00,90.0,21.5,42.0,672.1,886.2,1.0
2021-05-03 05:20:00,90.0,21.5,42.0,667.5,876.1,1.0
2021-05-03 05:25:00,90.0,21.5,42.0,668.8,877.3,1.0
2021-05-03 05:30:00,90.0,21.5,42.0,672.2,874.2,1.0
2021-05-03 05:35:00,90.0,21.4,42.0,673.4,871.2,1.0
2021-05-03 05:40:00,90.0,21.4,42.0,672.1,875.6,1.0
2021-05-03 05:45:00,90.0,21.4,42.0,666.6,874.1,1.0
2021-05-03 05:50:00,90.0,21.4,42.0,668.6,869.8,1.0
2021-05-03 05:55:00,90.0,21.4,42.1,667.4,866.0,1.0
2021-05-03 06:00:00,90.0,21.4,42.1,666.1,864.7,1.0
2021-05-03 06:05:00,90.0,21.4,42.1,670.3,853.3,1.0
2021-05-03 06:10:00,90.0,21.4,42.0,662.9,855.6,1.0
2021-05-03 06:15:00,90.0,21.4,42.0,666.0,849.8,1.0
2021-05-03 06:20:00,90.0,21.4,42.0,669.6,852.7,1.0
2021-05-03 06:25:00,90.0,21.4,42.0,676.6,849.3,1.0
2021-05-03 06:30:00,90.0,21.4,42.0,672.8,853.5,1.0
2021-05-03 06:35:00,90.0,21.4,42.0,683.3,854.6,1.0
2021-05-03 06:40:00,90.0,21.4,42.0,691.9,860.5,1.0
2021-05-03 06:45:00,90.0,21.3,42.0,694.9,864.2,1.0
2021-05-03 06:50:00,90.0,21.3,42.0,698.2,859.3,1.0
2021-05-03 06:55:00,90.0,21.3,42.0,703.1,858.3,1.1
2021-05-03 07:00:00,90.0,21.4,42.1,704.1,859.8,1.0
2021-05-03 07:05:00,89.7,21.4,42.4,717.9,863.6,1.0
2021-05-03 07:10:00,88.6,21.4,43.3,767.3,904.4,1.1
2021-05-03 07:15:00,88.0,21.4,43.9,829.7,914.7,1.1
2021-05-03 07:20:00,87.1,21.5,44.3,876.1,911.0,1.1
2021-05-03 07:25:00,86.7,21.6,44.7,918.7,915.9,1.2
2021-05-03 07:30:00,85.9,21.6,45.2,1004.4,888.3,1.3
2021-05-03 07:35:00,86.0,21.6,45.3,982.8,897.6,1.2
