timestamp(America/Toronto),score,temp,humid,co2,voc,pm25
2021-04-23 00:00:00,84.0,20.9,35.6,1032.0,280.0,1.7
2021-04-23 00:05:00,83.6,20.8,35.4,1015.9,301.8,1.9
2021-04-23 00:10:00,83.0,20.8,35.3,1005.7,352.5,1.8
2021-04-23 00:15:00,83.7,21.0,35.6,1002.0,336.4,1.7
2021-04-23 00:20:00,83.7,21.0,35.4,993.3,332.9,2.2
2021-04-23 00:25:00,83.7,20.9,35.2,978.5,324.1,1.7
2021-04-23 00:30:00,83.6,20.9,34.8,962.5,304.2,1.9
2021-04-23 00:35:00,84.0,20.9,34.7,946.0,296.7,1.8
2021-04-23 00:40:00,84.0,20.9,34.6,935.7,287.8,1.7
2021-04-23 00:45:00,84.0,20.8,34.7,932.3,286.8,1.9
2021-04-23 00:50:00,84.0,20.8,34.6,928.4,280.2,1.9
2021-04-23 00:55:00,84.0,20.8,34.5,926.8,282.5,1.8
2021-04-23 01:00:00,84.0,20.8,34.5,918.1,279.9,1.8
2021-04-23 01:05:00,84.0,20.7,34.3,911.3,271.0,1.9
2021-04-23 01:10:00,84.3,20.7,33.9,893.8,261.6,2.0
2021-04-23 01:15:00,85.0,20.6,33.9,866.0,254.0,1.9
2021-04-23 01:20:00,85.0,20.6,33.9,862.8,273.4,2.0
2021-04-23 01:25:00,85.0,20.6,33.9,855.1,282.2,2.0
2021-04-23 01:30:00,85.0,20.5,33.6,848.0,262.7,2.0
2021-04-23 01:35:00,85.0,20.5,33.7,842.3,253.6,2.0
2021-04-23 01:40:00,85.0,20.5,33.8,836.4,277.7,2.1
2021-04-23 01:45:00,85.0,20.5,33.5,816.4,257.2,2.0
2021-04-23 01:50:00,85.0,20.4,33.3,797.4,267.0,2.0
2021-04-23 01:55:00,85.0,20.5,33.4,796.2,286.7,1.9
2021-04-23 02:00:00,85.0,20.5,33.7,811.7,293.0,2.0
2021-04-23 02:05:00,85.0,20.5,33.4,807.5,266.2,1.9
2021-04-23 02:10:00,85.7,20.4,33.2,793.8,252.5,2.1
2021-04-23 02:15:00,86.0,20.4,33.1,785.4,243.3,2.0
2021-04-23 02:20:00,86.0,20.4,33.2,792.1,240.5,2.1
2021-04-23 02:25:00,86.0,20.4,33.3,799.9,237.5,2.1
2021-04-23 02:30:00,85.9,20.4,33.2,792.5,248.3,1.9
2021-04-23 02:35:00,86.0,20.3,33.2,795.7,242.4,2.0
2021-04-23 02:40:00,86.0,20.3,32.9,788.1,227.5,1.9
2021-04-23 02:45:00,86.0,20.3,32.9,787.1,224.3,2.0
2021-04-23 02:50:00,86.0,20.3,33.1,801.2,221.3,2.0
2021-04-23 02:55:00,86.0,20.2,33.0,795.4,216.5,2.1
2021-04-23 03:00:00,86.0,20.3,32.9,792.1,213.0,2.1
2021-04-23 03:05:00,86.0,20.2,32.7,776.5,204.4,2.2
2021-04-23 03:10:00,86.0,20.2,32.8,765.2,198.3,2.1
2021-04-23 03:15:00,86.2,20.1,32.9,762.4,197.4,2.1
2021-04-23 03:20:00,86.9,20.1,32.8,747.8,193.8,2.2
2021-04-23 03:25:00,86.9,20.1,33.0,755.3,193.5,2.0
2021-04-23 03:30:00,86.9,20.1,32.9,751.0,187.8,2.0
2021-04-23 03:35:00,86.9,20.1,33.1,754.9,191.5,2.0
2021-04-23 03:40:00,87.0,20.0,33.1,754.2,185.9,2.0
2021-04-23 03:45:00,86.9,20.0,33.4,767.3,187.7,2.0
2021-04-23 03:50:00,86.6,20.0,33.3,774.3,185.1,1.9
2021-04-23 03:55:00,86.3,20.1,33.3,775.4,189.4,1.9
2021-04-23 04:00:00,87.0,20.0,33.0,766.8,179.9,2.0
2021-04-23 04:05:00,86.6,20.0,33.1,773.3,182.4,1.9
2021-04-23 04:10:00,87.0,19.9,32.9,761.9,176.7,1.8
2021-04-23 04:15:00,86.9,20.0,33.0,766.6,180.9,1.7
2021-04-23 04:20:00,86.7,19.9,32.9,768.8,178.9,1.8
2021-04-23 04:25:00,87.0,20.0,33.2,760.6,182.8,1.8
2021-04-23 04:30:00,87.0,20.0,33.2,764.7,180.8,1.7
2021-04-23 04:35:00,87.0,20.0,33.1,757.5,184.2,1.9
2021-04-23 04:40:00,86.7,20.0,32.8,749.1,195.4,1.6
2021-04-23 04:45:00,87.0,20.0,33.0,753.9,187.1,1.7
2021-04-23 04:50:00,87.0,19.9,32.9,755.7,178.1,1.7
2021-04-23 04:55:00,87.0,20.0,33.0,751.2,178.2,1.6
2021-04-23 05:00:00,87.0,19.9,32.9,740.3,173.5,1.5
2021-04-23 05:05:00,87.0,19.9,33.0,739.2,173.1,1.7
2021-04-23 05:10:00,87.0,19.9,33.0,748.7,173.4,1.6
2021-04-23 05:15:00,87.0,19.9,33.1,750.7,171.9,1.7
2021-04-23 05:20:00,87.0,19.9,33.1,765.1,176.5,1.7
2021-04-23 05:25:00,86.8,19.9,33.1,776.2,170.7,1.5
2021-04-23 05:30:00,86.0,19.8,33.2,795.3,171.7,1.6
2021-04-23 05:35:00,86.0,19.8,33.0,789.2,169.3,1.7
2021-04-23 05:40:00,86.6,20.0,32.8,781.9,160.3,1.4
2021-04-23 05:45:00,87.0,20.1,32.6,767.2,155.5,1.7
2021-04-23 05:50:00,87.0,20.3,32.1,753.0,152.2,1.5
2021-04-23 05:55:00,87.0,20.4,31.9,734.8,148.3,1.4
2021-04-23 06:00:00,86.8,20.6,31.9,750.6,154.9,1.5
2021-04-23 06:05:00,86.6,21.1,30.2,726.6,147.2,1.5
2021-04-23 06:10:00,87.0,21.6,30.2,711.4,154.3,1.4
2021-04-23 06:15:00,86.2,21.8,30.3,725.9,159.1,1.2
2021-04-23 06:20:00,86.0,21.7,30.9,766.4,160.2,1.2
2021-04-23 06:25:00,86.0,21.4,31.5,796.6,161.6,1.1
2021-04-23 06:30:00,86.0,21.3,32.0,825.1,166.7,1.1
2021-04-23 06:35:00,85.2,21.2,32.3,856.3,170.4,1.4
2021-04-23 06:40:00,85.0,21.2,32.6,888.2,173.8,1.3
2021-04-23 06:45:00,85.0,21.1,32.8,914.4,178.3,1.2
2021-04-23 06:50:00,84.0,21.1,33.1,951.0,181.3,1.2
2021-04-23 06:55:00,84.0,21.1,33.2,988.8,185.0,1.2
2021-04-23 07:00:00,83.6,21.1,33.4,1008.7,198.0,1.2
2021-04-23 07:05:00,83.0,21.2,33.4,1041.5,199.5,1.1
2021-04-23 07:10:00,83.0,21.3,33.4,1065.7,201.4,1.2
2021-04-23 07:15:00,82.9,21.4,33.3,1085.8,202.0,1.3
2021-04-23 07:20:00,82.1,21.5,33.2,1116.1,203.9,1.2
2021-04-23 07:25:00,82.0,21.5,33.3,1143.3,206.5,1.2
2021-04-23 07:30:00,82.0,21.6,33.2,1164.9,206.7,1.1
2021-04-23 07:35:00,81.9,21.6,33.2,1181.8,207.1,1.2
2021-04-23 07:40:00,81.0,21.8,33.5,1209.5,216.0,1.3
2021-04-23 07:45:00,81.1,21.9,34.2,1261.5,226.7,1.3
2021-04-23 07:50:00,80.7,22.0,33.9,1260.9,243.6,1.8
2021-04-23 07:55:00,81.8,21.8,33.3,1129.6,229.4,1.6
2021-04-23 08:00:00,83.0,21.7,33.3,1044.9,224.8,2.0
2021-04-23 08:05:00,83.2,21.7,32.7,1002.4,210.8,1.9
2021-04-23 08:10:00,84.3,21.7,32.0,901.4,201.2,1.8
2021-04-23 08:15:00,85.0,21.7,31.3,819.8,199.0,1.7
2021-04-23 08:20:00,85.0,21.8,31.3,799.2,209.0,1.5
2021-04-23 08:25:00,85.0,22.0,31.0,791.6,214.1,1.5
2021-04-23 08:30:00,85.2,22.3,30.1,759.6,205.9,1.9
2021-04-23 08:35:00,85.8,22.2,30.9,748.4,226.6,1.6
2021-04-23 08:40:00,85.0,22.0,31.4,758.8,258.3,1.4
2021-04-23 08:45:00,85.0,22.0,31.7,768.1,261.4,1.5
2021-04-23 08:50:00,85.0,21.9,32.0,774.4,262.1,1.5
2021-04-23 08:55:00,85.0,21.9,32.2,775.2,262.1,1.7
2021-04-23 09:00:00,85.0,21.8,32.5,778.8,259.6,1.7
2021-04-23 09:05:00,85.7,21.8,32.7,779.9,254.9,1.8
2021-04-23 09:10:00,85.9,21.7,33.2,787.3,257.0,1.9
2021-04-23 09:15:00,85.3,21.7,33.3,797.4,255.7,1.7
2021-04-23 09:20:00,85.7,21.7,33.4,800.6,251.7,1.8
2021-04-23 09:25:00,86.0,21.6,33.5,796.4,247.9,1.7
2021-04-23 09:30:00,86.0,21.6,33.6,796.1,246.1,2.0
2021-04-23 09:35:00,86.0,21.6,33.8,798.1,245.8,1.8
2021-04-23 09:40:00,86.0,21.6,33.5,804.5,238.7,1.7
