timestamp(America/Toronto),score,temp,humid,co2,voc,pm25
2021-04-23 00:00:00,87.8,19.3,29.7,528.6,356.1,2.0
2021-04-23 00:05:00,87.8,19.3,29.6,527.9,354.1,1.9
2021-04-23 00:10:00,88.0,19.3,29.7,525.0,355.6,2.0
2021-04-23 00:15:00,88.0,19.2,29.6,521.4,354.8,2.0
2021-04-23 00:20:00,88.0,19.2,29.5,523.6,351.4,2.1
2021-04-23 00:25:00,88.0,19.2,29.6,522.1,350.8,2.4
2021-04-23 00:30:00,88.0,19.1,29.7,524.4,351.5,2.1
2021-04-23 00:35:00,88.0,19.1,29.6,522.0,352.1,2.2
2021-04-23 00:40:00,88.0,19.1,29.6,519.3,350.9,2.1
2021-04-23 00:45:00,88.0,19.0,29.6,520.0,351.3,2.2
2021-04-23 00:50:00,88.0,19.0,29.5,520.0,349.4,2.2
2021-04-23 00:55:00,88.0,19.0,29.5,516.7,350.3,2.1
2021-04-23 01:00:00,88.0,18.9,29.5,516.1,346.3,2.0
2021-04-23 01:05:00,88.0,18.9,29.6,513.2,346.4,2.1
2021-04-23 01:10:00,88.0,18.9,29.8,515.1,349.4,2.0
2021-04-23 01:15:00,88.0,18.8,29.8,518.4,347.4,2.0
2021-04-23 01:20:00,88.0,18.8,29.8,518.7,347.2,2.0
2021-04-23 01:25:00,88.0,18.8,29.7,515.9,344.8,2.2
2021-04-23 01:30:00,88.0,18.7,29.8,513.8,347.7,2.2
2021-04-23 01:35:00,88.0,18.7,29.9,522.6,347.5,2.2
2021-04-23 01:40:00,88.0,18.7,29.9,520.7,346.2,2.2
2021-04-23 01:45:00,88.0,18.7,30.1,519.2,348.0,2.2
2021-04-23 01:50:00,88.0,18.6,30.3,529.0,350.7,2.4
2021-04-23 01:55:00,88.0,18.6,30.0,530.7,344.7,2.1
2021-04-23 02:00:00,88.0,18.5,29.9,521.0,340.8,2.1
2021-04-23 02:05:00,88.0,18.5,30.2,522.5,349.5,2.1
2021-04-23 02:10:00,88.0,18.5,30.0,521.8,339.8,2.2
2021-04-23 02:15:00,88.0,18.5,30.3,523.4,350.0,2.1
2021-04-23 02:20:00,88.0,18.4,30.2,522.5,343.2,2.1
2021-04-23 02:25:00,88.0,18.4,30.1,516.3,337.9,2.0
2021-04-23 02:30:00,88.0,18.4,30.2,513.0,341.2,2.2
2021-04-23 02:35:00,88.0,18.3,30.2,515.1,339.6,2.1
2021-04-23 02:40:00,87.5,18.3,30.4,524.8,343.9,2.1
2021-04-23 02:45:00,87.0,18.3,30.4,527.4,341.0,2.2
2021-04-23 02:50:00,87.0,18.3,30.3,527.7,339.8,2.3
2021-04-23 02:55:00,87.0,18.2,30.4,523.8,337.4,2.3
2021-04-23 03:00:00,87.0,18.2,30.5,524.3,333.9,2.4
2021-04-23 03:05:00,87.0,18.2,30.6,527.9,333.6,2.2
2021-04-23 03:10:00,87.0,18.1,30.7,531.8,335.9,2.3
2021-04-23 03:15:00,87.0,18.1,30.7,537.3,330.9,2.3
2021-04-23 03:20:00,87.0,18.1,30.6,534.6,330.9,2.3
2021-04-23 03:25:00,87.0,18.0,30.6,534.2,327.1,2.3
2021-04-23 03:30:00,87.0,18.0,30.6,531.0,327.0,2.1
2021-04-23 03:35:00,87.0,18.0,30.6,529.2,323.5,2.3
2021-04-23 03:40:00,87.0,17.9,30.6,527.8,319.4,2.1
2021-04-23 03:45:00,87.0,18.0,30.6,520.1,319.6,2.3
2021-04-23 03:50:00,87.0,17.9,30.6,520.5,318.4,2.1
2021-04-23 03:55:00,87.0,17.9,30.6,522.0,317.2,2.1
2021-04-23 04:00:00,87.0,17.8,30.8,525.9,316.5,2.2
2021-04-23 04:05:00,87.0,17.8,30.7,523.1,314.8,2.3
2021-04-23 04:10:00,87.0,17.8,30.8,524.1,314.3,2.1
2021-04-23 04:15:00,86.8,17.8,30.7,524.8,311.4,2.2
2021-04-23 04:20:00,86.7,17.8,30.8,524.3,309.8,2.2
2021-04-23 04:25:00,86.6,17.7,30.9,525.7,308.8,2.0
2021-04-23 04:30:00,86.3,17.7,30.6,524.2,307.8,2.0
2021-04-23 04:35:00,86.6,17.7,30.8,519.9,308.3,2.1
2021-04-23 04:40:00,86.1,17.7,30.7,522.7,306.6,1.9
2021-04-23 04:45:00,86.0,17.6,30.8,520.3,304.6,2.1
2021-04-23 04:50:00,86.0,17.6,30.9,523.0,306.0,2.1
2021-04-23 04:55:00,86.0,17.6,30.8,517.2,305.2,2.0
2021-04-23 05:00:00,86.1,17.6,30.8,515.6,304.4,2.0
2021-04-23 05:05:00,86.2,17.5,30.8,512.5,302.0,2.0
2021-04-23 05:10:00,86.1,17.5,31.0,517.6,303.3,2.0
2021-04-23 05:15:00,86.0,17.5,30.8,514.6,300.4,2.1
2021-04-23 05:20:00,86.0,17.5,30.8,512.3,298.5,2.0
2021-04-23 05:25:00,86.0,17.4,30.9,515.4,300.2,1.8
2021-04-23 05:30:00,86.0,17.4,31.0,512.6,300.7,1.9
2021-04-23 05:35:00,86.0,17.4,31.0,515.3,297.0,1.9
2021-04-23 05:40:00,85.9,17.4,31.2,518.0,296.9,1.7
2021-04-23 05:45:00,85.7,17.3,31.2,512.3,293.4,2.0
