timestamp(America/Toronto),score,temp,humid,co2,voc,pm25
2021-04-23 00:00:00,84.2,25.1,31.9,749.6,258.4,1.1
2021-04-23 00:05:00,83.0,25.1,30.7,791.2,256.4,1.2
2021-04-23 00:10:00,83.0,25.1,29.8,804.9,256.1,1.1
2021-04-23 00:15:00,83.0,24.9,29.1,814.5,251.2,1.1
2021-04-23 00:20:00,82.9,24.9,28.5,818.9,244.2,1.0
2021-04-23 00:25:00,83.0,24.7,27.9,814.7,241.2,1.1
2021-04-23 00:30:00,83.0,24.7,27.3,807.4,234.9,1.0
2021-04-23 00:35:00,83.1,24.6,26.8,795.4,230.2,1.0
2021-04-23 00:40:00,83.4,24.6,26.3,778.9,223.2,1.1
2021-04-23 00:45:00,83.0,24.7,26.0,777.8,224.2,1.0
2021-04-23 00:50:00,82.7,24.8,25.7,784.9,227.9,1.1
2021-04-23 00:55:00,82.4,24.8,25.3,788.5,218.7,1.0
2021-04-23 01:00:00,82.4,24.8,24.9,782.5,219.0,1.0
2021-04-23 01:05:00,82.8,24.8,24.6,766.0,213.1,1.1
2021-04-23 01:10:00,83.0,24.8,24.3,749.1,207.0,1.1
2021-04-23 01:15:00,83.0,24.8,23.9,733.0,203.7,1.0
2021-04-23 01:20:00,83.1,24.7,23.7,713.4,206.0,1.0
2021-04-23 01:25:00,83.3,24.7,23.5,704.3,202.8,1.0
2021-04-23 01:30:00,83.7,24.7,23.3,697.0,200.4,1.1
2021-04-23 01:35:00,83.9,24.7,23.1,683.5,199.3,1.0
2021-04-23 01:40:00,84.0,24.6,23.1,677.6,199.8,1.0
2021-04-23 01:45:00,84.0,24.6,22.9,666.3,196.1,1.0
2021-04-23 01:50:00,84.0,24.6,22.9,661.6,195.7,1.0
2021-04-23 01:55:00,84.0,24.6,22.8,654.5,194.8,1.0
2021-04-23 02:00:00,84.0,24.5,22.8,653.0,201.8,1.0
2021-04-23 02:05:00,84.0,24.5,22.7,646.4,200.8,1.0
2021-04-23 02:10:00,84.1,24.5,22.8,648.2,201.9,1.0
2021-04-23 02:15:00,84.1,24.5,22.7,648.8,202.6,1.0
2021-04-23 02:20:00,84.0,24.5,22.6,651.1,201.9,1.1
2021-04-23 02:25:00,84.1,24.5,22.4,645.6,201.1,1.0
2021-04-23 02:30:00,84.2,24.5,22.7,642.6,206.8,1.0
2021-04-23 02:35:00,84.3,24.5,22.8,648.3,200.3,1.0
2021-04-23 02:40:00,84.5,24.5,22.9,648.1,200.2,1.0
2021-04-23 02:45:00,84.9,24.5,23.1,640.3,199.5,0.9
2021-04-23 02:50:00,85.0,24.4,23.2,636.3,193.7,1.0
2021-04-23 02:55:00,85.0,24.4,23.3,637.8,195.2,1.0
2021-04-23 03:00:00,85.0,24.4,23.2,635.9,193.5,0.9
2021-04-23 03:05:00,85.0,24.4,23.1,630.8,194.2,1.0
2021-04-23 03:10:00,85.0,24.4,23.1,622.7,192.2,1.0
2021-04-23 03:15:00,85.0,24.4,23.3,626.2,196.3,1.0
2021-04-23 03:20:00,85.0,24.4,23.3,631.4,190.3,1.0
2021-04-23 03:25:00,85.0,24.4,23.3,633.7,187.8,1.0
2021-04-23 03:30:00,85.0,24.4,23.4,632.0,191.5,1.0
2021-04-23 03:35:00,85.0,24.4,23.4,630.8,189.7,1.0
2021-04-23 03:40:00,85.0,24.4,23.4,627.7,192.1,1.0
2021-04-23 03:45:00,84.4,24.4,23.2,625.2,240.2,1.0
2021-04-23 03:50:00,84.0,24.4,23.3,634.9,275.8,1.0
2021-04-23 03:55:00,84.0,24.4,23.1,641.5,260.9,1.0
2021-04-23 04:00:00,84.0,24.4,22.9,642.9,248.7,1.0
2021-04-23 04:05:00,84.0,24.4,22.8,636.9,247.1,1.0
2021-04-23 04:10:00,84.0,24.4,22.7,641.9,243.0,1.0
2021-04-23 04:15:00,84.0,24.4,22.6,634.9,242.8,1.0
2021-04-23 04:20:00,84.0,24.4,22.5,635.1,237.8,1.0
2021-04-23 04:25:00,84.0,24.4,22.5,638.8,237.3,1.0
2021-04-23 04:30:00,84.0,24.4,22.4,631.9,235.0,1.0
2021-04-23 04:35:00,84.0,24.4,22.5,637.6,237.2,1.0
2021-04-23 04:40:00,84.0,24.4,22.6,633.7,229.9,1.0
2021-04-23 04:45:00,84.0,24.4,22.5,636.7,231.0,1.0
2021-04-23 04:50:00,84.1,24.4,22.4,629.8,220.4,1.0
2021-04-23 04:55:00,84.1,24.4,22.5,628.2,219.2,1.0
2021-04-23 05:00:00,84.6,24.4,22.5,623.3,212.5,1.0
2021-04-23 05:05:00,84.6,24.4,22.5,625.9,208.2,1.0
2021-04-23 05:10:00,84.4,24.4,22.7,630.9,213.4,0.9
2021-04-23 05:15:00,84.3,24.4,22.6,639.1,208.5,1.0
2021-04-23 05:20:00,84.5,24.4,22.5,635.8,198.9,1.0
2021-04-23 05:25:00,84.9,24.4,22.4,625.0,197.4,0.9
2021-04-23 05:30:00,85.0,24.4,22.3,621.3,189.9,1.0
2021-04-23 05:35:00,85.0,24.4,22.3,626.2,188.7,1.0
2021-04-23 05:40:00,85.0,24.4,22.3,624.7,184.7,1.0
2021-04-23 05:45:00,85.0,24.4,22.3,622.1,184.8,1.0
2021-04-23 05:50:00,85.0,24.3,22.2,618.9,181.5,1.0
2021-04-23 05:55:00,85.0,24.4,22.2,622.2,178.9,1.0
2021-04-23 06:00:00,85.0,24.4,22.2,620.9,180.9,0.9
2021-04-23 06:05:00,85.0,24.4,22.2,619.9,181.8,1.0
2021-04-23 06:10:00,84.9,24.4,22.2,622.4,191.6,1.0
2021-04-23 06:15:00,84.8,24.4,22.2,626.4,192.8,1.0
2021-04-23 06:20:00,85.0,24.4,22.0,621.7,184.9,0.9
2021-04-23 06:25:00,85.0,24.4,22.0,616.0,186.8,1.0
2021-04-23 06:30:00,85.0,24.4,22.1,617.9,189.5,1.0
2021-04-23 06:35:00,85.0,24.3,22.0,611.6,187.3,1.0
2021-04-23 06:40:00,85.0,24.3,22.0,611.6,187.4,1.0
2021-04-23 06:45:00,83.8,24.4,22.0,609.2,292.9,0.9
